Part,Tool,Cavity,Date,라벨,"FAI 1 / SPC A"
"Memphis IR BASE",A,1CAV,2026-02-19,"Data 2",0.0153
"Memphis IR BASE",A,1CAV,2026-02-19,"Data 3",0.0255
"Memphis IR BASE",A,2CAV,2026-02-19,"Data 1",0.0148
"Memphis IR BASE",A,2CAV,2026-02-19,"Data 2",0.017
"Memphis IR BASE",A,2CAV,2026-02-19,"Data 3",0.0141
"Memphis IR BASE",A,3CAV,2026-02-19,"Data 1",0.0206
"Memphis IR BASE",A,3CAV,2026-02-19,"Data 2",0.0206
"Memphis IR BASE",A,3CAV,2026-02-19,"Data 3",0.0152
"Memphis IR BASE",A,4CAV,2026-02-19,"Data 1",0.0128
"Memphis IR BASE",A,4CAV,2026-02-19,"Data 2",0.0202
"Memphis IR BASE",A,4CAV,2026-02-19,"Data 3",0.0125
"Memphis IR BASE",A,1CAV,2026-02-21,"Data 1",0.0116
"Memphis IR BASE",A,1CAV,2026-02-21,"Data 2",0.0091
"Memphis IR BASE",A,1CAV,2026-02-21,"Data 3",0.0105
"Memphis IR BASE",A,2CAV,2026-02-21,"Data 1",0.0176
"Memphis IR BASE",A,2CAV,2026-02-21,"Data 2",0.0122
"Memphis IR BASE",A,2CAV,2026-02-21,"Data 3",0.0113
"Memphis IR BASE",A,3CAV,2026-02-21,"Data 1",0.023
"Memphis IR BASE",A,3CAV,2026-02-21,"Data 2",0.014
"Memphis IR BASE",A,3CAV,2026-02-21,"Data 3",0.0139
"Memphis IR BASE",A,4CAV,2026-02-21,"Data 1",0.0095
"Memphis IR BASE",A,4CAV,2026-02-21,"Data 2",0.0106
"Memphis IR BASE",A,4CAV,2026-02-21,"Data 3",0.0073
"Memphis IR BASE",A,1CAV,2026-02-22,"Data 1",0.0258
"Memphis IR BASE",A,1CAV,2026-02-22,"Data 2",0.0281
"Memphis IR BASE",A,1CAV,2026-02-22,"Data 3",0.0267
"Memphis IR BASE",A,2CAV,2026-02-22,"Data 1",0.0134
"Memphis IR BASE",A,2CAV,2026-02-22,"Data 2",0.0106
"Memphis IR BASE",A,2CAV,2026-02-22,"Data 3",0.0129
"Memphis IR BASE",A,3CAV,2026-02-22,"Data 1",0.0164
"Memphis IR BASE",A,3CAV,2026-02-22,"Data 2",0.0252
"Memphis IR BASE",A,3CAV,2026-02-22,"Data 3",0.0203
"Memphis IR BASE",A,4CAV,2026-02-22,"Data 1",0.0195
"Memphis IR BASE",A,4CAV,2026-02-22,"Data 2",0.0222
"Memphis IR BASE",A,4CAV,2026-02-22,"Data 3",0.0186
"Memphis IR BASE",A,1CAV,2026-02-23,"Data 1",0.0317
"Memphis IR BASE",A,1CAV,2026-02-23,"Data 2",0.0324
"Memphis IR BASE",A,1CAV,2026-02-23,"Data 3",0.032
"Memphis IR BASE",A,2CAV,2026-02-23,"Data 1",0.0196
"Memphis IR BASE",A,2CAV,2026-02-23,"Data 2",0.0177
"Memphis IR BASE",A,2CAV,2026-02-23,"Data 3",0.0308
"Memphis IR BASE",A,3CAV,2026-02-23,"Data 1",0.0202
"Memphis IR BASE",A,3CAV,2026-02-23,"Data 2",0.0224
"Memphis IR BASE",A,3CAV,2026-02-23,"Data 3",0.0276
"Memphis IR BASE",A,4CAV,2026-02-23,"Data 1",0.0267
"Memphis IR BASE",A,4CAV,2026-02-23,"Data 2",0.0269
"Memphis IR BASE",A,4CAV,2026-02-23,"Data 3",0.0301
"Memphis IR BASE",A,1CAV,2026-02-24,"Data 1",0.0279
"Memphis IR BASE",A,1CAV,2026-02-24,"Data 2",0.0323
"Memphis IR BASE",A,1CAV,2026-02-24,"Data 3",0.0275
"Memphis IR BASE",A,2CAV,2026-02-24,"Data 1",0.0268
"Memphis IR BASE",A,2CAV,2026-02-24,"Data 2",0.0339
"Memphis IR BASE",A,2CAV,2026-02-24,"Data 3",0.0288
"Memphis IR BASE",A,3CAV,2026-02-24,"Data 1",0.034
"Memphis IR BASE",A,3CAV,2026-02-24,"Data 2",0.0294
"Memphis IR BASE",A,3CAV,2026-02-24,"Data 3",0.0339
"Memphis IR BASE",A,4CAV,2026-02-24,"Data 1",0.0203
"Memphis IR BASE",A,4CAV,2026-02-24,"Data 2",0.0318
"Memphis IR BASE",A,4CAV,2026-02-24,"Data 3",0.0277
"Memphis IR BASE",A,1CAV,2026-02-25,"Data 1",0.028
"Memphis IR BASE",A,1CAV,2026-02-25,"Data 2",0.0255
"Memphis IR BASE",A,1CAV,2026-02-25,"Data 3",0.0274
"Memphis IR BASE",A,2CAV,2026-02-25,"Data 1",0.0335
"Memphis IR BASE",A,2CAV,2026-02-25,"Data 2",0.0327
"Memphis IR BASE",A,2CAV,2026-02-25,"Data 3",0.0327
"Memphis IR BASE",A,3CAV,2026-02-25,"Data 1",0.0378
"Memphis IR BASE",A,3CAV,2026-02-25,"Data 2",0.0421
"Memphis IR BASE",A,3CAV,2026-02-25,"Data 3",0.0291
"Memphis IR BASE",A,4CAV,2026-02-25,"Data 1",0.0313
"Memphis IR BASE",A,4CAV,2026-02-25,"Data 2",0.0328
"Memphis IR BASE",A,4CAV,2026-02-25,"Data 3",0.0293
"Memphis IR BASE",A,1CAV,2026-02-26,"Data 1",0.0178
"Memphis IR BASE",A,1CAV,2026-02-26,"Data 2",0.0167
"Memphis IR BASE",A,1CAV,2026-02-26,"Data 3",0.0201
"Memphis IR BASE",A,2CAV,2026-02-26,"Data 1",0.0312
"Memphis IR BASE",A,2CAV,2026-02-26,"Data 2",0.0247
"Memphis IR BASE",A,2CAV,2026-02-26,"Data 3",0.032
"Memphis IR BASE",A,3CAV,2026-02-26,"Data 1",0.0282
"Memphis IR BASE",A,3CAV,2026-02-26,"Data 2",0.0284
"Memphis IR BASE",A,3CAV,2026-02-26,"Data 3",0.0322
"Memphis IR BASE",A,4CAV,2026-02-26,"Data 1",0.0265
"Memphis IR BASE",A,4CAV,2026-02-26,"Data 2",0.0271
"Memphis IR BASE",A,4CAV,2026-02-26,"Data 3",0.0296
"Memphis IR BASE",A,1CAV,2026-02-27,"Data 1",0.0221
"Memphis IR BASE",A,1CAV,2026-02-27,"Data 2",0.0226
"Memphis IR BASE",A,1CAV,2026-02-27,"Data 3",0.0314
"Memphis IR BASE",A,2CAV,2026-02-27,"Data 1",0.0182
"Memphis IR BASE",A,2CAV,2026-02-27,"Data 2",0.0273
"Memphis IR BASE",A,2CAV,2026-02-27,"Data 3",0.0288
"Memphis IR BASE",A,3CAV,2026-02-27,"Data 1",0.0322
"Memphis IR BASE",A,3CAV,2026-02-27,"Data 2",0.0258
"Memphis IR BASE",A,3CAV,2026-02-27,"Data 3",0.0319
"Memphis IR BASE",A,4CAV,2026-02-27,"Data 1",0.0319
"Memphis IR BASE",A,4CAV,2026-02-27,"Data 2",0.031
"Memphis IR BASE",A,4CAV,2026-02-27,"Data 3",0.0178
"Memphis IR BASE",A,1CAV,2026-02-28,"Data 1",0.0188
"Memphis IR BASE",A,1CAV,2026-02-28,"Data 2",0.0183
